Model,Accuracy,Precision,Recall,F1,MCC,AUC
logistic,0.8211166390270868,0.7114967462039046,0.4466636404902406,0.5488008923591746,0.4631663242475247,0.848527153918224
knn,0.8276395798783859,0.6654676258992805,0.5878347707671358,0.6242468064593878,0.5146358254735478,0.8545333202060437
random_forest,0.8557213930348259,0.7427027027027027,0.6236949614162506,0.6780162842339008,0.5896645215047597,0.9058930561989091
decision_tree,0.8051962410171365,0.5970083589969204,0.6159782115297322,0.6063449508489723,0.4770644200617251,0.7410215508256326
xgboost,0.8715312327252626,0.77700904736562,0.6627326373127553,0.7153356197942186,0.6363964344246823,0.9265225278754768
naive_bayes,0.7988944168048646,0.6784386617100372,0.33136631865637767,0.44525770051845076,0.37229065124324223,0.8522161523250362
